,Open,High,Low,Close
2016-01-11,23.134,23.289,23.133,23.278
2016-01-12,23.247,23.279,23.18,23.216
2016-01-13,23.229,23.309,23.171,23.173
2016-01-14,23.174,23.318,23.12,23.309
2016-01-15,23.311,23.373,23.241,23.373
2016-01-18,23.348,23.374,23.287,23.318
2016-01-19,23.306,23.455,23.3,23.326
2016-01-20,23.326,23.528,23.316,23.496
2016-01-21,23.498,23.534,23.413,23.517
2016-01-22,23.456,23.545,23.427,23.439
2016-01-25,23.443,23.521,23.43,23.456
2016-01-26,23.456,23.564,23.424,23.526
2016-01-27,23.523,23.581,23.455,23.473
2016-01-28,23.467,23.605,23.453,23.538
2016-01-29,23.503,23.602,23.304,23.556
2016-02-01,23.512,23.562,23.374,23.545
2016-02-02,23.479,23.578,23.411,23.472
2016-02-03,23.482,23.742,23.361,23.737
2016-02-04,23.721,23.781,23.513,23.736
2016-02-05,23.728,23.815,23.578,23.594
2016-02-08,23.642,23.874,23.619,23.78
2016-02-09,23.777,23.9,23.746,23.861
2016-02-10,23.86,23.909,23.689,23.769
2016-02-11,23.77,23.851,23.677,23.756
2016-02-12,23.753,23.772,23.601,23.695
2016-02-15,23.706,23.805,23.504,23.693
2016-02-16,23.69,23.737,23.583,23.596
2016-02-17,23.603,23.788,23.514,23.765
2016-02-18,23.761,23.796,23.652,23.705
2016-02-19,23.665,23.712,23.604,23.688
2016-02-22,23.679,23.751,23.624,23.739
2016-02-23,23.738,23.745,23.606,23.639
2016-02-24,23.639,23.791,23.614,23.759
2016-02-25,23.763,23.804,23.657,23.719
2016-02-26,23.716,23.76,23.589,23.646
2016-02-29,23.595,23.708,23.548,23.647
2016-03-01,23.649,23.703,23.546,23.636
2016-03-02,23.642,23.72,23.575,23.704
2016-03-03,23.697,23.827,23.624,23.714
2016-03-04,23.715,23.875,23.597,23.708
2016-03-07,23.757,23.783,23.604,23.739
2016-03-08,23.738,23.741,23.624,23.707
2016-03-09,23.705,23.842,23.655,23.785
2016-03-10,23.772,23.888,23.726,23.837
2016-03-11,23.854,23.963,23.759,23.86
2016-03-14,23.816,23.83,23.688,23.717
2016-03-15,23.72,23.85,23.631,23.797
2016-03-16,23.797,24.081,23.712,24.059
2016-03-17,23.822,24.027,23.799,23.986
2016-03-18,24.0,24.053,23.773,23.811
2016-03-21,23.82,23.852,23.762,23.783
2016-03-22,23.784,23.875,23.748,23.853
2016-03-23,23.839,23.862,23.728,23.753
2016-03-24,23.748,23.865,23.705,23.754
2016-03-25,23.764,23.83,23.71,23.71
2016-03-28,23.728,23.884,23.727,23.802
2016-03-29,23.801,24.08,23.788,24.041
2016-03-30,24.042,24.058,23.79,23.861
2016-03-31,23.857,24.028,23.8,23.844
2016-04-01,23.836,24.044,23.808,23.919
2016-04-04,23.926,23.975,23.872,23.898
2016-04-05,23.898,23.96,23.804,23.959
2016-04-06,23.943,24.115,23.89,24.102
2016-04-07,24.102,24.121,23.951,23.998
2016-04-08,23.999,24.103,23.961,24.039
2016-04-11,24.064,24.131,24.013,24.087
2016-04-12,24.083,24.095,23.996,24.094
2016-04-13,24.094,24.106,23.94,23.955
2016-04-14,23.993,23.994,23.706,23.754
2016-04-15,23.767,23.861,23.711,23.861
2016-04-18,23.838,23.971,23.837,23.958
2016-04-19,23.957,24.085,23.885,24.067
2016-04-20,24.003,24.067,23.959,23.967
2016-04-21,23.963,24.038,23.895,23.925
2016-04-22,23.922,23.976,23.864,23.865
2016-04-25,23.874,23.966,23.868,23.942
2016-04-26,23.943,23.958,23.858,23.921
2016-04-27,23.913,24.033,23.913,24.028
2016-04-28,24.036,24.088,23.936,24.04
2016-04-29,24.045,24.091,23.95,24.045
2016-05-02,24.023,24.067,23.968,24.051
2016-05-03,24.065,24.085,23.901,23.906
2016-05-04,23.916,23.938,23.81,23.839
2016-05-05,23.854,23.91,23.82,23.857
2016-05-06,23.859,23.884,23.786,23.826
2016-05-09,23.84,23.84,23.72,23.731
2016-05-10,23.73,23.82,23.659,23.812
2016-05-11,23.813,23.868,23.731,23.834
2016-05-12,23.834,23.84,23.733,23.739
