,Open,High,Low,Close
2017-01-25,23.873,23.996,23.797,23.994
2017-01-26,23.994,24.084,23.871,23.939
2017-01-27,23.936,24.093,23.923,24.013
2017-01-30,24.023,24.074,23.887,23.928
2017-01-31,23.956,24.058,23.902,23.922
2017-02-01,23.924,24.066,23.801,23.985
2017-02-02,23.991,24.088,23.822,23.891
2017-02-03,23.891,23.897,23.666,23.71
2017-02-06,23.712,23.81,23.536,23.643
2017-02-07,23.676,23.706,23.531,23.547
2017-02-08,23.542,23.753,23.519,23.679
2017-02-09,23.679,23.708,23.57,23.651
2017-02-10,23.651,23.741,23.579,23.716
2017-02-13,23.653,23.765,23.628,23.765
2017-02-14,23.761,23.776,23.52,23.539
2017-02-15,23.544,23.598,23.461,23.515
2017-02-16,23.518,23.651,23.481,23.555
2017-02-17,23.555,23.662,23.51,23.579
2017-02-20,23.555,23.647,23.482,23.515
2017-02-21,23.517,23.544,23.371,23.44
2017-02-22,23.439,23.505,23.321,23.388
2017-02-23,23.384,23.491,23.346,23.491
2017-02-24,23.49,23.51,23.395,23.405
2017-02-27,23.424,23.479,23.261,23.268
2017-02-28,23.266,23.337,23.039,23.06
2017-03-01,23.054,23.2,23.041,23.082
2017-03-02,23.109,23.136,22.95,22.997
2017-03-03,22.99,23.228,22.99,23.168
2017-03-06,23.131,23.166,23.09,23.126
2017-03-07,23.127,23.165,22.997,23.034
2017-03-08,23.035,23.096,22.878,22.878
2017-03-09,23.013,23.057,22.904,22.956
2017-03-10,22.957,23.142,22.949,23.094
2017-03-13,23.077,23.081,22.935,23.025
2017-03-14,23.027,23.055,22.945,22.985
2017-03-15,22.983,23.01,22.844,22.972
2017-03-16,22.97,23.076,22.868,22.916
2017-03-17,23.042,23.067,22.816,22.881
2017-03-20,22.916,22.951,22.715,22.877
2017-03-21,22.916,22.924,22.767,22.856
2017-03-22,22.799,22.911,22.761,22.894
2017-03-23,22.89,22.929,22.791,22.84
2017-03-24,22.84,22.859,22.669,22.734
2017-03-27,22.802,22.806,22.521,22.594
2017-03-28,22.597,22.654,22.499,22.577
2017-03-29,22.577,22.747,22.538,22.734
2017-03-30,22.732,22.838,22.663,22.722
2017-03-31,22.723,22.886,22.709,22.816
2017-04-03,22.787,22.817,22.654,22.718
2017-04-04,22.718,22.771,22.664,22.766
2017-04-05,22.768,22.776,22.61,22.647
2017-04-06,22.644,22.799,22.606,22.789
2017-04-07,22.788,22.958,22.743,22.883
2017-04-10,22.852,23.02,22.814,22.996
2017-04-11,23.023,23.053,22.949,23.007
2017-04-12,23.008,23.063,22.867,22.978
2017-04-13,22.98,23.006,22.754,22.761
2017-04-14,22.761,22.847,22.755,22.821
2017-04-17,22.84,22.895,22.728,22.77
2017-04-18,22.79,22.866,22.694,22.728
2017-04-19,22.735,22.767,22.552,22.585
2017-04-20,22.585,22.623,22.507,22.593
2017-04-21,22.597,22.597,22.449,22.527
2017-04-24,22.532,22.561,22.333,22.432
2017-04-25,22.425,22.425,22.077,22.223
2017-04-26,22.227,22.25,22.083,22.144
2017-04-27,22.147,22.28,22.053,22.135
2017-04-28,22.114,22.208,22.08,22.146
2017-05-01,22.169,22.176,22.074,22.108
2017-05-02,22.109,22.128,21.842,21.943
2017-05-03,21.943,21.996,21.815,21.91
2017-05-04,21.91,22.031,21.883,21.92
2017-05-05,21.931,22.152,21.865,22.152
2017-05-08,22.086,22.138,21.983,22.039
2017-05-09,22.041,22.185,22.005,22.088
2017-05-10,22.087,22.178,22.049,22.148
2017-05-11,22.142,22.142,21.962,21.998
2017-05-12,21.999,22.076,21.962,22.057
2017-05-15,22.009,22.159,21.967,22.061
2017-05-16,22.066,22.188,22.038,22.144
2017-05-17,22.145,22.236,22.108,22.196
2017-05-18,22.196,22.326,22.138,22.218
2017-05-19,22.216,22.308,21.952,22.224
2017-05-22,22.212,22.289,22.126,22.246
2017-05-23,22.245,22.44,22.221,22.325
2017-05-24,22.327,22.529,22.286,22.522
2017-05-25,22.519,22.527,22.293,22.299
2017-05-26,22.299,22.483,22.296,22.427
2017-05-29,22.411,22.51,22.364,22.367
2017-05-30,22.367,22.473,22.335,22.432
2017-05-31,22.346,22.448,22.277,22.322
2017-06-01,22.318,22.393,22.262,22.303
2017-06-02,22.303,22.352,22.244,22.315
2017-06-05,22.322,22.372,22.268,22.348
2017-06-06,22.316,22.422,22.297,22.395
2017-06-07,22.393,22.462,22.267,22.328
2017-06-08,22.327,22.36,22.247,22.3
2017-06-09,22.299,22.46,22.254,22.366
