,Open,High,Low,Close
2018-12-13,3.844,3.844,3.8387,3.8376
2018-12-14,3.9395,3.9614,3.9331,3.9504
2018-12-17,3.8341,3.8341,3.8255,3.8333
2018-12-18,3.8287,3.8287,3.8261,3.8255
2018-12-19,3.8309,3.8309,3.82,3.8261
2018-12-20,3.824,3.824,3.8163,3.82
2018-12-21,3.9268,3.9412,3.9227,3.9361
2018-12-24,3.8196,3.8196,3.8196,3.8262
2018-12-25,3.8221,3.8221,3.8221,3.8196
2018-12-26,3.8356,3.8356,3.8211,3.8221
2018-12-27,3.8025,3.8064,3.8025,3.8211
2018-12-28,3.9337,3.9351,3.8977,3.902
2018-12-31,3.7843,3.7843,3.7843,3.7951
2019-01-01,3.7905,3.8182,3.7905,3.7843
2019-01-02,3.8476,3.8476,3.8345,3.8182
2019-01-03,3.8154,3.8255,3.8154,3.8345
2019-01-04,3.943,3.9535,3.9282,3.9357
2019-01-07,3.8137,3.8248,3.8137,3.8233
2019-01-08,3.8277,3.8277,3.8194,3.8248
2019-01-09,3.786,3.8196,3.786,3.8194
2019-01-10,3.8245,3.8245,3.8088,3.8196
2019-01-11,3.9315,3.935,3.9132,3.9344
2019-01-14,3.8235,3.8235,3.8212,3.8254
2019-01-15,3.8262,3.8262,3.8204,3.8212
2019-01-16,3.8152,3.8206,3.8152,3.8204
2019-01-17,3.8234,3.8234,3.8212,3.8206
2019-01-18,3.9348,3.9407,3.9298,3.9402
2019-01-21,3.8245,3.8281,3.8245,3.8267
2019-01-22,3.8254,3.8256,3.8254,3.8281
2019-01-23,3.8178,3.8247,3.8178,3.8256
2019-01-24,3.8374,3.8374,3.813,3.8247
2019-01-25,3.9401,3.9412,3.9144,3.9201
2019-01-28,3.8046,3.8186,3.8046,3.8095
2019-01-29,3.8188,3.8188,3.8114,3.8186
2019-01-30,3.7951,3.8006,3.7951,3.8114
2019-01-31,3.8143,3.8143,3.8063,3.814
2019-02-01,3.9163,3.9283,3.9135,3.9202
2019-02-04,3.8207,3.8207,3.813,3.8152
2019-02-05,3.8181,3.8181,3.8103,3.8184
2019-02-06,3.8179,3.8179,3.8133,3.8103
2019-02-07,3.8102,3.8158,3.8102,3.8133
2019-02-08,3.9312,3.9359,3.9236,3.9357
2019-02-11,3.8323,3.8323,3.8169,3.8194
2019-02-12,3.8021,3.8179,3.8021,3.8169
2019-02-13,3.8385,3.8385,3.8162,3.8179
2019-02-14,3.8077,3.8145,3.8077,3.8162
2019-02-15,3.933,3.9392,3.926,3.932
2019-02-18,3.8239,3.8239,3.8184,3.8159
2019-02-19,3.7943,3.8131,3.7943,3.8184
2019-02-20,3.8098,3.813,3.8098,3.8131
2019-02-21,3.8182,3.8182,3.8086,3.813
2019-02-22,3.926,3.9334,3.9137,3.9236
2019-02-25,3.8044,3.807,3.8044,3.8037
2019-02-26,3.7976,3.8087,3.7976,3.807
2019-02-27,3.8147,3.8147,3.8111,3.8087
2019-02-28,3.8271,3.8271,3.8166,3.8111
2019-03-01,3.9307,3.9355,3.9241,3.9346
2019-03-04,3.8161,3.8183,3.8161,3.8128
2019-03-05,3.8277,3.8277,3.8145,3.8172
2019-03-06,3.8118,3.8186,3.8113,3.8145
2019-03-07,3.8591,3.8591,3.8247,3.8186
2019-03-08,3.943,3.9446,3.9342,3.9367
2019-03-11,3.8196,3.8263,3.8196,3.8255
2019-03-12,3.8149,3.8239,3.8149,3.8263
2019-03-13,3.8163,3.8272,3.8163,3.8239
2019-03-14,3.8253,3.8253,3.8221,3.8272
2019-03-15,3.9447,3.945,3.9302,3.9354
2019-03-18,3.8171,3.8171,3.8097,3.8177
2019-03-19,3.8121,3.8122,3.8121,3.8097
2019-03-20,3.7894,3.8164,3.7894,3.8122
2019-03-21,3.8235,3.8253,3.8197,3.8164
2019-03-22,3.9293,3.94,3.9248,3.9389
2019-03-25,3.815,3.8154,3.815,3.8167
2019-03-26,3.83,3.83,3.8212,3.8154
2019-03-27,3.8314,3.8314,3.8212,3.8212
2019-03-28,3.8189,3.8189,3.8157,3.8212
2019-03-29,3.9364,3.9378,3.9252,3.9341
2019-04-01,3.8218,3.8218,3.8138,3.8125
2019-04-02,3.8124,3.8124,3.8123,3.8138
2019-04-03,3.8123,3.8134,3.8123,3.8123
2019-04-04,3.8153,3.8153,3.814,3.8134
2019-04-05,3.9307,3.9326,3.9234,3.924
2019-04-08,3.8134,3.8182,3.8134,3.818
2019-04-09,3.8227,3.8227,3.8227,3.8182
2019-04-10,3.8234,3.8234,3.8221,3.8227
2019-04-11,3.829,3.829,3.8183,3.8296
2019-04-12,3.9393,3.9405,3.9303,3.937
2019-04-15,3.8241,3.8244,3.8241,3.8224
2019-04-16,3.8289,3.8289,3.8154,3.8244
2019-04-17,3.8186,3.8186,3.8153,3.8154
2019-04-18,3.8218,3.8218,3.8218,3.8153
2019-04-19,3.9354,3.9374,3.9287,3.9335
2019-04-22,3.8142,3.8198,3.8142,3.8195
2019-04-23,3.8301,3.8301,3.8224,3.8198
2019-04-24,3.8415,3.8415,3.8348,3.8224
2019-04-25,3.8319,3.8319,3.8287,3.8348
2019-04-26,3.9469,3.9492,3.9376,3.946
2019-04-29,3.8151,3.8253,3.8151,3.8248
2019-04-30,3.8239,3.8239,3.8239,3.8253
2019-05-01,3.8285,3.8285,3.8238,3.8239
2019-05-02,3.8352,3.8352,3.8255,3.8238
2019-05-03,3.9442,3.9477,3.9344,3.9393
2019-05-06,3.8267,3.8267,3.8257,3.8276
2019-05-07,3.8283,3.8283,3.8281,3.8257
2019-05-08,3.8299,3.8332,3.8299,3.8281
2019-05-09,3.8235,3.8341,3.8235,3.8332
2019-05-10,3.9553,3.9588,3.9403,3.9479
2019-05-13,3.8479,3.8523,3.8479,3.8476
2019-05-14,3.8611,3.8611,3.8536,3.85
2019-05-15,3.8496,3.8529,3.8496,3.8536
2019-05-16,3.8646,3.8775,3.8646,3.8529
2019-05-17,3.9813,4.006,3.9723,4.001
