,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2018-06-14,20.957,21.091,20.834,20.859,,,,,,,,,,,,,,,,,,,,
2018-06-15,20.858,20.977,20.801,20.937,,,,,,,,,,,,,,,,,,,,
2018-06-18,20.927,21.01,20.819,20.938,,,,,,,,,,,,,,,,,,,,
2018-06-19,20.941,20.941,20.801,20.834,,,,,,,,,,,,,,,,,,,,
2018-06-20,20.838,20.897,20.692,20.703,,,,,,,,,,,,,,,,,,,,
2018-06-21,20.713,20.902,20.632,20.869,,,,,,,,,,,,,,,,,,,,
2018-06-22,20.856,20.994,20.838,20.937,,,,,,,,,,,,,,,,,,,,
2018-06-25,20.948,21.026,20.918,20.942,,,,,,,,,,,,,,,,,,,,
2018-06-26,20.958,21.031,20.831,20.879,,,,,,,,,,,,,,,,,,,,
2018-06-27,20.886,20.886,20.721,20.765,,,,,,,,,,,,,,,,,,,,
2018-06-28,20.808,20.808,20.639,20.66,,,,,,,,,,,,,,,,,,,,
2018-06-29,20.664,20.697,20.556,20.643,,,,,,,,,,,,,,,,,,,,
2018-07-02,20.68,20.69,20.449,20.515,,,,,,,,,,,,,,,,,,,,
2018-07-03,20.522,20.675,20.471,20.641,,,,,,,,,,,,,,,,,,,,
2018-07-04,20.653,20.709,20.601,20.647,,,,,,,,,,,,,,,,,,,,
2018-07-05,20.646,20.777,20.624,20.741,,,,,,,,,,,,,,,,,,,,
2018-07-06,20.742,20.864,20.705,20.834,,,,,,,,,,,,,,,,,,,,
2018-07-09,20.801,20.818,20.71,20.757,,,,,,,,,,,,,,,,,,,,
2018-07-10,20.757,20.848,20.671,20.691,,,,,,,,,,,,,,,,,,,,
2018-07-11,20.684,20.857,20.653,20.731,,,,,,,,,,,,,,,,,,,,
2018-07-12,20.73,20.735,20.615,20.65,,,,,,,,,,,,,,,,,,,,
2018-07-13,20.659,20.727,20.623,20.684,,,,,,,,,,,,,,,,,,,,
2018-07-16,20.706,20.765,20.66,20.672,,,,,,,,,,,,,,,,,,,,
2018-07-17,20.662,20.891,20.662,20.679,,,,,,,,,,,,,,,,,,,,
2018-07-18,20.671,20.847,20.63,20.79,,,,,,,,,,,,,,,,,,,,
2018-07-19,20.788,20.862,20.619,20.713,,,,,,,,,,,,,,,,,,,,
2018-07-20,20.711,20.869,20.667,20.858,,,,,,,,,,,,,,,,,,,,
2018-07-23,20.86,20.928,20.745,20.771,,,,,,,,,,,,,,,,,,,,
2018-07-24,20.762,20.886,20.751,20.835,,,,,,,,,,,,,,,,,,,,
2018-07-25,20.841,20.887,20.755,20.807,,,,,,,,,,,,,,,,,,,,
2018-07-26,20.808,20.923,20.754,20.785,,,,,,,,,,,,,,,,,,,,
2018-07-27,20.786,20.817,20.714,20.773,,,,,,,,,,,,,,,,,,,,
2018-07-30,20.772,20.908,20.758,20.898,,,,,,,,,,,,,,,,,,,,
2018-07-31,20.904,20.944,20.797,20.834,,,,,,,,,,,,,,,,,,,,
2018-08-01,20.828,20.865,20.771,20.827,,,,,,,,,,,,,,,,,,,,
2018-08-02,20.826,20.835,20.667,20.695,,,,,,,,,,,,,,,,,,,,
2018-08-03,20.691,20.753,20.61,20.646,,,,,,,,,,,,,,,,,,,,
2018-08-06,20.643,20.707,20.594,20.598,,,,,,,,,,,,,,,,,,,,
2018-08-07,20.598,20.671,20.565,20.598,,,,,,,,,,,,,,,,,,,,
2018-08-08,20.599,20.703,20.508,20.549,,,,,,,,,,,,,,,,,,,,
