,Open,High,Low,Close
2022-09-08,4.4424,4.4556,4.435,4.4369
2022-09-09,4.4436,4.4628,4.4341,4.4613
2022-09-12,4.4629,4.4714,4.4483,4.4525
2022-09-13,4.455,4.5022,4.4538,4.4974
2022-09-14,4.5001,4.5003,4.4623,4.4683
2022-09-15,4.4712,4.4804,4.463,4.4702
2022-09-16,4.4728,4.4964,4.4527,4.4874
2022-09-19,4.4858,4.4896,4.4715,4.4717
2022-09-20,4.4717,4.4861,4.4672,4.4714
2022-09-21,4.4677,4.4718,4.4529,4.4665
2022-09-22,4.4824,4.4902,4.4533,4.4573
2022-09-23,4.4662,4.4769,4.456,4.4671
2022-09-26,4.4681,4.4719,4.4432,4.4657
2022-09-27,4.4513,4.4535,4.4133,4.4143
2022-09-28,4.4184,4.4455,4.3947,4.4046
2022-09-29,4.4052,4.4614,4.4052,4.4408
2022-09-30,4.4785,4.4873,4.4613,4.4783
2022-10-03,4.4727,4.4944,4.4672,4.4718
2022-10-04,4.4718,4.4814,4.4451,4.4451
2022-10-05,4.4451,4.458,4.4213,4.4213
2022-10-06,4.4273,4.4447,4.4212,4.4259
2022-10-07,4.4526,4.4672,4.4395,4.4652
2022-10-10,4.4629,4.4678,4.4389,4.4466
2022-10-11,4.4493,4.4665,4.433,4.4418
2022-10-12,4.4467,4.4534,4.4303,4.4361
2022-10-13,4.4317,4.4541,4.4202,4.4474
2022-10-14,4.4474,4.4543,4.4346,4.4454
2022-10-17,4.4624,4.4624,4.4461,4.4545
2022-10-18,4.4521,4.4552,4.4418,4.453
2022-10-19,4.4512,4.4537,4.4318,4.4467
2022-10-20,4.4456,4.4602,4.4348,4.4588
2022-10-21,4.4601,4.4601,4.4349,4.4363
2022-10-24,4.451,4.4645,4.451,4.458
2022-10-25,4.4546,4.4546,4.4243,4.4419
2022-10-26,4.4405,4.4934,4.4248,4.4728
2022-10-27,4.4631,4.4806,4.4276,4.4414
2022-10-28,4.4414,4.4511,4.4315,4.4332
2022-10-31,4.4333,4.448,4.4169,4.4228
2022-11-01,4.4238,4.4359,4.4099,4.4304
2022-11-02,4.4244,4.4335,4.4194,4.4272
2022-11-03,4.4222,4.4258,4.4086,4.416
2022-11-04,4.4269,4.4682,4.4204,4.4614
2022-11-07,4.4622,4.4622,4.4239,4.4273
2022-11-08,4.4274,4.4327,4.3968,4.4048
2022-11-09,4.4,4.4147,4.3851,4.4147
