,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2015-11-13,23.317,23.437,23.237,23.437,,,,,,,,,,,,,,,,,,,,
2015-11-16,22.707,22.707,22.659,22.636,,,,,,,,,,,,,,,,,,,,
2015-11-17,22.693,22.693,22.62,22.699,,,,,,,,,,,,,,,,,,,,
2015-11-18,22.693,22.709,22.693,22.62,,,,,,,,,,,,,,,,,,,,
2015-11-19,22.75,22.788,22.75,22.709,,,,,,,,,,,,,,,,,,,,
2015-11-20,23.439,23.558,23.325,23.548,,,,,,,,,,,,,,,,,,,,
2015-11-23,22.777,22.834,22.777,22.78,,,,,,,,,,,,,,,,,,,,
2015-11-24,22.977,22.977,22.859,22.974,,,,,,,,,,,,,,,,,,,,
2015-11-25,22.722,22.836,22.722,22.818,,,,,,,,,,,,,,,,,,,,
2015-11-26,22.848,22.848,22.847,22.834,,,,,,,,,,,,,,,,,,,,
2015-11-27,23.465,23.624,23.344,23.394,,,,,,,,,,,,,,,,,,,,
2015-11-30,22.989,23.105,22.989,22.871,,,,,,,,,,,,,,,,,,,,
2015-12-01,23.155,23.322,23.155,23.171,,,,,,,,,,,,,,,,,,,,
2015-12-02,23.158,23.357,23.158,23.214,,,,,,,,,,,,,,,,,,,,
2015-12-03,22.543,23.301,22.543,22.574,,,,,,,,,,,,,,,,,,,,
2015-12-04,23.965,24.157,23.852,24.028,,,,,,,,,,,,,,,,,,,,
2015-12-07,23.148,23.148,23.148,23.148,,,,,,,,,,,,,,,,,,,,
2015-12-08,23.123,23.123,23.069,23.078,,,,,,,,,,,,,,,,,,,,
2015-12-09,22.961,23.281,22.961,22.927,,,,,,,,,,,,,,,,,,,,
2015-12-10,23.212,23.212,23.07,23.281,,,,,,,,,,,,,,,,,,,,
2015-12-11,23.76,23.807,23.586,23.626,,,,,,,,,,,,,,,,,,,,
2015-12-14,23.149,23.149,23.008,23.137,,,,,,,,,,,,,,,,,,,,
2015-12-15,23.034,23.034,22.936,23.03,,,,,,,,,,,,,,,,,,,,
2015-12-16,23.073,23.073,23.022,23.07,,,,,,,,,,,,,,,,,,,,
2015-12-17,22.82,22.82,22.79,22.825,,,,,,,,,,,,,,,,,,,,
2015-12-18,23.44,23.664,23.375,23.563,,,,,,,,,,,,,,,,,,,,
2015-12-21,22.948,23.094,22.948,22.9,,,,,,,,,,,,,,,,,,,,
2015-12-22,23.073,23.076,23.073,23.057,,,,,,,,,,,,,,,,,,,,
2015-12-23,23.155,23.194,23.155,23.15,,,,,,,,,,,,,,,,,,,,
2015-12-24,23.167,23.167,23.167,23.138,,,,,,,,,,,,,,,,,,,,
2015-12-25,23.816,23.834,23.754,23.834,,,,,,,,,,,,,,,,,,,,
2015-12-28,23.149,23.248,23.149,23.135,,,,,,,,,,,,,,,,,,,,
2015-12-29,23.396,23.396,23.324,23.423,,,,,,,,,,,,,,,,,,,,
2015-12-30,23.306,23.358,23.306,23.293,,,,,,,,,,,,,,,,,,,,
2015-12-31,23.361,23.361,23.361,23.38,,,,,,,,,,,,,,,,,,,,
2016-01-01,24.033,24.033,23.986,24.001,,,,,,,,,,,,,,,,,,,,
2016-01-04,23.35,23.35,23.079,23.294,,,,,,,,,,,,,,,,,,,,
2016-01-05,23.125,23.125,22.86,23.095,,,,,,,,,,,,,,,,,,,,
2016-01-06,22.8,22.8,22.659,22.863,,,,,,,,,,,,,,,,,,,,
2016-01-07,22.684,22.69,22.684,22.616,,,,,,,,,,,,,,,,,,,,
2016-01-08,23.342,23.481,23.122,23.144,,,,,,,,,,,,,,,,,,,,
2016-01-11,22.807,22.807,22.657,22.773,,,,,,,,,,,,,,,,,,,,
2016-01-12,22.781,22.781,22.776,22.657,,,,,,,,,,,,,,,,,,,,
2016-01-13,22.303,22.674,22.303,22.432,,,,,,,,,,,,,,,,,,,,
2016-01-14,22.924,22.924,22.504,22.674,,,,,,,,,,,,,,,,,,,,
2016-01-15,23.35,23.41,22.933,23.052,,,,,,,,,,,,,,,,,,,,
2016-01-18,22.488,22.603,22.488,22.414,,,,,,,,,,,,,,,,,,,,
2016-01-19,22.345,22.523,22.345,22.417,,,,,,,,,,,,,,,,,,,,
