,Open,High,Low,Close
2020-04-03,1.6252,1.6363,1.5869,1.5922
2020-04-06,1.5686,1.6302,1.564,1.6179
2020-04-07,1.6186,1.6636,1.6103,1.6453
2020-04-08,1.6409,1.6616,1.6337,1.6519
2020-04-09,1.6439,1.6836,1.6436,1.667
2020-04-10,1.667,1.6764,1.6645,1.6747
2020-04-13,1.6686,1.6714,1.6553,1.665
2020-04-14,1.6647,1.6726,1.6306,1.6408
2020-04-15,1.6313,1.6444,1.6007,1.6123
2020-04-16,1.6129,1.6275,1.5884,1.6052
2020-04-17,1.5996,1.6152,1.5905,1.6049
2020-04-20,1.5988,1.6053,1.5866,1.5976
2020-04-21,1.5977,1.605,1.5754,1.5864
2020-04-22,1.5871,1.6068,1.5783,1.584
2020-04-23,1.5845,1.5927,1.5629,1.5629
2020-04-24,1.5746,1.5964,1.5617,1.583
2020-04-27,1.584,1.6013,1.5792,1.595
2020-04-28,1.589,1.6141,1.5873,1.6023
2020-04-29,1.6017,1.648,1.6016,1.6449
2020-04-30,1.6454,1.6508,1.6041,1.6081
2020-05-01,1.6103,1.6123,1.5813,1.5885
2020-05-04,1.5858,1.6139,1.5741,1.6132
2020-05-05,1.6127,1.6301,1.6088,1.6224
2020-05-06,1.597,1.6082,1.5957,1.5989
2020-05-07,1.5985,1.6188,1.5937,1.611
2020-05-08,1.6031,1.6327,1.6028,1.6293
2020-05-11,1.6271,1.638,1.6145,1.6167
2020-05-12,1.6176,1.6454,1.6149,1.6254
2020-05-13,1.6251,1.6377,1.6072,1.6179
2020-05-14,1.6182,1.6245,1.5968,1.6215
2020-05-15,1.6145,1.631,1.6093,1.6156
2020-05-18,1.6129,1.6356,1.6095,1.6326
2020-05-19,1.6324,1.6482,1.6263,1.6331
2020-05-20,1.6313,1.6721,1.627,1.6686
2020-05-21,1.6693,1.7065,1.6566,1.7013
2020-05-22,1.6968,1.7116,1.6788,1.7054
2020-05-25,1.7054,1.7145,1.6942,1.7059
2020-05-26,1.7017,1.7293,1.6999,1.7227
2020-05-27,1.7171,1.7295,1.7128,1.7257
2020-05-28,1.7253,1.735,1.7086,1.7094
2020-05-29,1.7098,1.7206,1.6999,1.7091
2020-06-01,1.7037,1.724,1.7037,1.7206
2020-06-02,1.7164,1.7482,1.7153,1.7429
