Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,buy,sell,Return_Since_Last_Buy,Days_Since_Last_Buy
4.3644,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.3279179999999995,,0.004324280312350659,4.327021428571428,4.3644,4.3315,0,0,0.0,0
4.3461,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.328431999999999,,0.0051543559698528085,4.328935714285714,4.3644,4.3461,0,0,0.0,0
4.3608,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.329546000000001,,0.006918610619235821,4.331714285714286,4.3644,4.3461,0,0,0.0,0
4.3412,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.33,,0.006658484083917671,4.33265,4.3608,4.3412,0,0,0.0,0
4.3399,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.33008,,0.006275097378653172,4.333978571428571,4.3608,4.3399,0,0,0.0,0
4.35,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.330356,,0.006708910103832011,4.3358357142857145,4.35,4.3399,0,0,0.0,0
4.3588,4.3644,4.3075,4.3744,4.2909,4.386,4.2909,4.330293999999999,,0.007674331354569297,4.337549999999999,4.3588,4.3399,0,0,0.0,0
4.3467,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.32974,,0.007378016592558545,4.339321428571428,4.3588,4.3467,0,0,0.0,0
4.3426,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.3296600000000005,,0.006734715664002522,4.341214285714286,4.3588,4.3426,0,0,0.0,0
4.3391,4.3644,4.3075,4.3712,4.2909,4.386,4.2909,4.329366,,0.005874753789333553,4.342942857142857,4.3467,4.3391,0,0,0.0,0
4.3393,4.3644,4.3142,4.3712,4.2909,4.386,4.2909,4.329094,,0.005150000140639932,4.3452142857142855,4.3426,4.3391,0,0,0.0,0
4.3421,4.3644,4.3315,4.3644,4.2909,4.386,4.2909,4.328512,,0.004746845570973157,4.347207142857143,4.3421,4.3391,0,0,0.0,0
4.3258,4.3644,4.3258,4.3644,4.2909,4.386,4.2909,4.3283760000000004,,0.0030766037221336973,4.3468,4.3421,4.3258,1,0,0.0,0
4.3421,4.3644,4.3258,4.3644,4.2909,4.386,4.2909,4.328496,,0.003033233570227445,4.345635714285715,4.3421,4.3258,0,0,0.003768089139581165,3
4.3404,4.3608,4.3258,4.3644,4.2909,4.386,4.2909,4.328794,,0.0028290748065380456,4.343921428571429,4.3421,4.3258,0,0,0.0033750982477229008,4
4.3404,4.3608,4.3258,4.3644,4.2909,4.386,4.2909,4.32896,,0.002636881190467122,4.343514285714286,4.3421,4.3404,0,0,0.0033750982477229008,5
4.358,4.3588,4.3258,4.3644,4.2909,4.386,4.2909,4.329436,,0.003860240822429084,4.3433142857142855,4.358,4.3404,0,0,0.007443709834019039,6
4.3369,4.3588,4.3258,4.3644,4.2909,4.386,4.2909,4.329642,,0.003091531236957934,4.343007142857142,4.358,4.3369,0,0,0.002565999352720858,7
4.3214,4.3588,4.3214,4.3644,4.2909,4.386,4.2909,4.3293040000000005,,0.0012175675305412526,4.341685714285714,4.358,4.3214,1,0,-0.0010171528965741373,10
4.3164,4.3588,4.3164,4.3644,4.2909,4.386,4.2909,4.328812,,-0.0006633734648620049,4.3392857142857135,4.3369,4.3164,1,0,-0.0011570324431896825,1
4.3655,4.3655,4.3164,4.3655,4.2909,4.386,4.2909,4.329435999999999,,0.0017873237434669065,4.339764285714286,4.3655,4.3164,0,0,0.011375220090816455,1
4.3687,4.3687,4.3164,4.3687,4.2909,4.386,4.2909,4.330102,,0.003942287952345858,4.341335714285714,4.3687,4.3164,0,0,0.01211657863034005,2
4.3686,4.3687,4.3164,4.3687,4.2909,4.386,4.2909,4.330652,,0.005577746657850824,4.343192857142857,4.3687,4.3655,0,0,0.01209341117597999,3
4.371,4.371,4.3164,4.371,4.2909,4.386,4.2909,4.33165,,0.0069869778754645395,4.345471428571428,4.371,4.3686,0,0,0.012649430080622892,6
4.3826,4.3826,4.3164,4.3826,4.2909,4.386,4.2909,4.332955999999999,,0.008936808853647449,4.348564285714286,4.3826,4.3686,0,0,0.015336854786396131,7
4.3833,4.3833,4.3164,4.3833,4.2909,4.386,4.2909,4.334256,,0.010418450687224023,4.351507142857143,4.3833,4.371,0,0,0.01549902696691697,8
4.4125,4.4125,4.3164,4.4125,4.3013,4.4125,4.2909,4.3366880000000005,,0.01378989713020129,4.3576999999999995,4.4125,4.3826,0,0,0.022263923640070397,9
4.4288,4.4288,4.3164,4.4288,4.3013,4.4288,4.2909,4.339192,,0.01757447884899843,4.363892857142857,4.4288,4.3833,0,1,0.026040218700769172,10
4.4335,4.4335,4.3164,4.4335,4.3013,4.4335,4.2909,4.341667999999999,,0.020714256789947427,4.3705428571428575,4.4335,4.4125,0,1,0.02712908905569471,13
4.4325,4.4335,4.3164,4.4335,4.3013,4.4335,4.2909,4.3439939999999995,,0.022858364785961705,4.377121428571429,4.4335,4.4288,0,1,0.026897414512093484,14
4.433,4.4335,4.3164,4.4335,4.3013,4.4335,4.2909,4.3465300000000004,,0.024317613332287102,4.382478571428572,4.4335,4.4325,0,1,0.027013251783893997,15
