Close,Max_14,Min_14,Max_50,Min_50,Max_90,Min_90,MA_50,MA_200,MACD,ATR,Pivot_Points,Bearish_Candlestick_Patterns,label
5.2097736,5.25911262,5.15862464,,,,,,,-0.014411453079182124,5.206826926428571,5.2097736,5.17859786,1
5.19586096,5.2464384,5.15862464,,,,,,,-0.013856683635177447,5.2023089507142855,5.2097736,5.1792879,1
5.17656316,5.2464384,5.15862464,,,,,,,-0.014803549926796222,5.19800473,5.2097736,5.17656316,0
5.16646728,5.2464384,5.15862464,,,,,,,-0.01618206465753147,5.193812771428571,5.19586096,5.16646728,0
5.1858275,5.2311304,5.15862464,,,,,,,-0.015533281558734124,5.189483421428571,5.1858275,5.16646728,0
5.2151419,5.2151419,5.15862464,,,,,,,-0.012509487603165503,5.188341385714287,5.2151419,5.16646728,0
5.20052988,5.2151419,5.15862464,,,,,,,-0.011163491226544586,5.187397219999999,5.2151419,5.1858275,0
5.15865735,5.2151419,5.15862464,,,,,,,-0.013321975190997648,5.185080808571429,5.2151419,5.15865735,0
5.18876892,5.2151419,5.15862464,,,,,,,-0.012459215160970594,5.184702371428571,5.20052988,5.15865735,0
5.1927936,5.2151419,5.15865735,,,,,,,-0.011320221118517715,5.187143011428572,5.1927936,5.15865735,0
5.223727,5.223727,5.15865735,,,,,,,-0.007831219847439286,5.1911670828571435,5.223727,5.18876892,0
5.21543136,5.223727,5.15865735,,,,,,,-0.005670187628246559,5.191959162142857,5.223727,5.1927936,0
5.18976315,5.223727,5.15865735,,,,,,,-0.00596006019009554,5.192756682857143,5.223727,5.18976315,0
5.17330723,5.223727,5.15865735,,,,,,,-0.007431970371714058,5.192329492142858,5.21543136,5.17330723,0
5.20247925,5.223727,5.15865735,,,,,,,-0.006173368828860326,5.191808467142857,5.20247925,5.17330723,0
5.21006616,5.223727,5.15865735,,,,,,,-0.004511709627720073,5.192823124285715,5.21006616,5.17330723,0
5.235924,5.235924,5.15865735,,,,,,,-0.0010956907136900895,5.197063184285715,5.235924,5.20247925,1
5.21068944,5.235924,5.15865735,5.3280351,5.14528884,,,5.2198530072,,-0.00041984944812600844,5.200221910000001,5.235924,5.21006616,0
5.1837711,5.235924,5.15865735,5.3280351,5.14528884,,,5.219367243600001,,-0.002032891539800019,5.200075024285715,5.235924,5.1837711,0
5.26143246,5.26143246,5.15865735,5.3280351,5.15862464,,,5.2216901159999995,,0.0029217041039286684,5.203381492857142,5.26143246,5.1837711,1
5.273436,5.273436,5.15865735,5.3280351,5.15862464,,,5.2223881566,,0.00772776138486897,5.208589072857143,5.273436,5.1837711,1
