,Open,High,Low,Close,Volume
2025-01-29,52.04,52.11,51.81,52.0,5875936.0
2025-01-30,52.59,52.81,52.455,52.76,7054912.0
2025-01-31,52.99,53.18,52.7397,52.87,6724318.0
2025-02-03,53.13,53.44,53.085,53.17,9447839.0
2025-02-04,53.55,53.69,53.455,53.69,5745197.0
2025-02-05,54.08,54.3999,53.99,54.02,9173746.0
2025-02-06,53.93,53.935,53.48,53.89,5222344.0
2025-02-07,54.23,54.475,53.8324,53.97,8020248.0
2025-02-10,54.83,54.945,54.665,54.88,10280948.0
2025-02-11,54.76,54.88,54.5599,54.69,6019853.0
2025-02-12,54.65,54.91,54.48,54.75,7050958.0
2025-02-13,54.89,55.295,54.87,55.28,4307241.0
2025-02-14,55.24,55.27,54.3,54.46,5884597.0
